                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34759,                0.48911,                 1.1326,                0.89214,                0.90993,                0.92603,                0.89866,                0.24558,                0.39925,                0.83771,              0.0033313,              0.0033313,              0.0033313
                      2,                0.36839,                 0.5375,                 1.1446,                0.90626,                0.88315,                0.91624,                0.88405,                0.27067,                0.45657,                 0.8615,              0.0065986,              0.0065986,              0.0065986
                      3,                0.40488,                0.63861,                 1.1736,                0.86086,                0.86525,                0.90156,                0.86109,                0.31757,                0.52282,                0.90808,                 0.0098,                 0.0098,                 0.0098
                      4,                0.43417,                 0.7278,                 1.2017,                0.84178,                0.89395,                0.90123,                 0.8685,                0.29194,                0.52191,                0.88393,               0.009703,               0.009703,               0.009703
                      5,                0.43839,                0.72925,                    1.2,                0.86153,                0.87626,                 0.8983,                0.86474,                0.29097,                0.51118,                0.87674,               0.009604,               0.009604,               0.009604
                      6,                0.43521,                0.72837,                 1.2015,                0.86362,                0.88272,                0.89978,                0.86685,                0.29442,                0.49006,                0.89035,               0.009505,               0.009505,               0.009505
                      7,                0.43507,                0.72728,                 1.2022,                0.85935,                0.89957,                0.90979,                0.87294,                0.30265,                0.49065,                 0.8983,               0.009406,               0.009406,               0.009406
                      8,                0.43273,                0.71513,                 1.2007,                0.87689,                0.89185,                0.90786,                0.87442,                0.29562,                0.47043,                0.89797,               0.009307,               0.009307,               0.009307
                      9,                0.42809,                0.70719,                 1.1953,                0.87367,                0.90479,                0.91172,                0.87687,                0.29939,                0.46616,                0.89335,               0.009208,               0.009208,               0.009208
                     10,                0.42811,                 0.7019,                   1.19,                0.88094,                0.89248,                 0.9118,                0.87692,                0.29501,                0.47238,                0.89134,               0.009109,               0.009109,               0.009109
                     11,                0.42384,                0.69803,                 1.1859,                0.88993,                0.89253,                0.91207,                0.88059,                0.27413,                0.45345,                0.86559,                0.00901,                0.00901,                0.00901
                     12,                0.42405,                0.68412,                 1.1847,                0.85846,                 0.9049,                0.91203,                0.87852,                0.28268,                0.45617,                0.88213,               0.008911,               0.008911,               0.008911
                     13,                0.42179,                0.68073,                 1.1839,                0.88229,                0.90369,                0.91968,                0.88706,                0.27864,                0.43628,                0.87759,               0.008812,               0.008812,               0.008812
                     14,                 0.4212,                0.67012,                 1.1872,                0.88196,                0.90041,                 0.9189,                0.88657,                0.26982,                0.41513,                0.86072,               0.008713,               0.008713,               0.008713
                     15,                0.41739,                 0.6674,                 1.1758,                0.87728,                0.90423,                0.92327,                0.89198,                0.26668,                0.41724,                0.86356,               0.008614,               0.008614,               0.008614
                     16,                 0.4181,                0.66128,                 1.1801,                 0.8894,                0.89621,                0.91923,                0.88884,                0.26332,                0.41674,                0.85861,               0.008515,               0.008515,               0.008515
